"","Season","Team","name","pass.att","pass.comp","passyds","pass.tds","rush.att","rushyds","rushtds","recept","recyds","rec.tds","games","total.tds"
"194","2012","PHI","S.Havili",0,0,0,0,0,0,0,0,0,0,1,0
"195","2012","PHI","J.Babin",0,0,0,0,0,0,0,0,0,0,1,0
"196","2012","PHI","K.Coleman",0,0,0,0,0,0,0,0,0,0,1,0
"197","2012","PHI","C.Jenkins",0,0,0,0,0,0,0,0,0,0,1,0
"198","2012","PHI","A.Jordan",0,0,0,0,0,0,0,0,0,0,1,0
"199","2012","PHI","T.Cole",0,0,0,0,0,0,0,0,0,0,1,0
"200","2012","PHI","N.Allen",0,0,0,0,0,0,0,0,0,0,1,0
"201","2012","PHI","D.Ryans",0,0,0,0,0,0,0,0,0,0,1,0
"202","2012","PHI","M.Kendricks",0,0,0,0,0,0,0,0,0,0,1,0
"203","2012","PHI","F.Cox",0,0,0,0,0,0,0,0,0,0,1,0
"204","2012","PHI","D.Tapp",0,0,0,0,0,0,0,0,0,0,1,0
"205","2012","PHI","D.Rodgers-Cromarti",0,0,0,0,0,0,0,0,0,0,1,0
"206","2012","PHI","N.Asomugha",0,0,0,0,0,0,0,0,0,0,1,0
"207","2012","PHI","B.Graham",0,0,0,0,0,0,0,0,0,0,1,0
"208","2012","NO","M.Colston",0,0,0,0,0,0,0,4,71,0,1,0
"209","2012","NO","D.Sproles",0,0,0,0,0,0,0,5,35,1,1,1
"210","2012","NO","D.Brees",52,24,339,3,0,0,0,0,0,0,1,3
"211","2012","NO","P.Thomas",0,0,0,0,4,17,0,1,12,0,1,0
"212","2012","NO","M.Ingram",0,0,0,0,6,15,0,0,0,0,1,0
"213","2012","NO","D.Thomas",0,0,0,0,0,0,0,1,5,0,1,0
"214","2012","NO","R.Harper",0,0,0,0,0,0,0,0,0,0,1,0
"215","2012","NO","L.Moore",0,0,0,0,0,0,0,6,120,1,1,1
"216","2012","NO","J.Graham",0,0,0,0,0,0,0,6,85,1,1,1
"217","2012","NO","M.Jenkins",0,0,0,0,0,0,0,0,0,0,1,0
"218","2012","NO","D.Hawthorne",0,0,0,0,0,0,0,0,0,0,1,0
"219","2012","NO","D.Henderson",0,0,0,0,0,0,0,1,11,0,1,0
"220","2012","NO","G.Hartley",0,0,0,0,0,0,0,0,0,0,1,0
"221","2012","NO","C.Jordan",0,0,0,0,0,0,0,0,0,0,1,0
"222","2012","NO","J.Murphy",0,0,0,0,0,0,0,0,0,0,1,0
"223","2012","NO","C.Lofton",0,0,0,0,0,0,0,0,0,0,1,0
